"cable_style","nc","cc","xa","ne","xae","od","br","wght","ct","core_con","mt"
BV,3,c,"3/0",0,0.00,1.455,4.37,2210,p,,1302
BV,3,c,"313",0,0.00,1.955,5.87,4102,p,,1302
BV,3,c,"35",0,0.00,23.300,70.00,1218,p,,1301
BV,3,c,"373",0,0.00,2.070,6.21,4773,p,,1302
BV,3,c,"4",0,0.00,10.800,32.00,187,p,,1301
BV,3,c,"4",0,0.00,0.905,2.72,673,p,,1302
BV,3,c,"4/0",0,0.00,1.615,4.85,2709,p,,1302
BV,3,c,"50",0,0.00,26.800,80.00,1693,p,,1301
BV,3,c,"6",0,0.00,12.200,37.00,257,p,,1301
BV,3,c,"6",0,0.00,0.750,2.25,446,p,,1302
BV,3,c,"70",0,0.00,31.600,95.00,2442,p,,1301
BV,3,c,"8",0,0.00,0.665,2.00,315,p,,1302
BV,3,c,"95",0,0.00,35.500,106.00,3042,p,,1301
BV,4,c,"1",0,0.00,1.265,3.80,1537,p,,1302
BV,4,c,"1.5",0,0.00,9.500,28.00,119,p,,1301
BV,4,c,"1/0",0,0.00,1.360,4.08,1872,p,,1302
BV,4,c,"10",0,0.00,15.900,48.00,501,p,,1301
BV,4,c,"10",0,0.00,0.575,1.73,246,p,,1302
BV,4,c,"12",0,0.00,0.480,1.44,163,p,,1302
BV,4,c,"120",0,0.00,44.200,132.00,4938,p,,1301
BV,4,c,"14",0,0.00,0.435,1.31,122,p,,1302
BV,4,c,"150",0,0.00,48.300,145.00,6109,p,,1301
BV,4,c,"16",0,0.00,18.600,56.00,740,p,,1301
BV,4,c,"16",0,0.00,0.400,1.20,92,p,,1302
BV,4,c,"185",0,0.00,54.200,162.00,7217,p,,1301
BV,4,c,"2",0,0.00,1.130,3.39,1225,p,,1302
BV,4,c,"2.5",0,0.00,10.500,32.00,165,p,,1301
BV,4,c,"2/0",0,0.00,1.480,4.44,2294,p,,1302
BV,4,c,"25",0,0.00,22.800,69.00,1145,p,,1301
BV,4,c,"262",0,0.00,2.065,6.20,4470,p,,1302
BV,4,c,"3/0",0,0.00,1.600,4.80,2813,p,,1302
BV,4,c,"35",0,0.00,25.800,77.00,1548,p,,1301
BV,4,c,"4",0,0.00,12.000,36.00,234,p,,1301
BV,4,c,"4",0,0.00,0.985,2.96,839,p,,1302
BV,4,c,"4/0",0,0.00,1.850,5.55,3565,p,,1302
BV,4,c,"50",0,0.00,29.800,89.00,2157,p,,1301
BV,4,c,"6",0,0.00,13.400,40.00,317,p,,1301
BV,4,c,"6",0,0.00,0.820,2.46,556,p,,1302
BV,4,c,"70",0,0.00,35.100,105.00,3116,p,,1301
BV,4,c,"8",0,0.00,0.725,2.18,389,p,,1302
BV,4,c,"95",0,0.00,39.600,119.00,3896,p,,1301
BV,5,c,"1",0,0.00,1.400,4.20,1873,p,,1302
BV,5,c,"1.5",0,0.00,10.400,31.00,153,p,,1301
BV,5,c,"10",0,0.00,17.700,53.00,636,p,,1301
BV,5,c,"10",0,0.00,0.630,1.89,295,p,,1302
BV,5,c,"12",0,0.00,0.560,1.68,212,p,,1302
BV,5,c,"120",0,0.00,49.600,149.00,6160,p,,1301
BV,5,c,"14",0,0.00,0.480,1.44,145,p,,1302
BV,5,c,"150",0,0.00,54.300,163.00,7611,p,,1301
BV,5,c,"16",0,0.00,20.700,62.00,934,p,,1301
BV,5,c,"16",0,0.00,0.435,1.31,109,p,,1302
BV,5,c,"185",0,0.00,60.700,182.00,8975,p,,1301
BV,5,c,"2",0,0.00,1.250,3.75,1491,p,,1302
BV,5,c,"2.5",0,0.00,11.800,35.00,216,p,,1301
BV,5,c,"25",0,0.00,25.500,77.00,1438,p,,1301
BV,5,c,"35",0,0.00,28.800,86.00,1940,p,,1301
BV,5,c,"4",0,0.00,13.200,39.00,296,p,,1301
